areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-07-31,4691,5135378
nation,England,E92000001,2021-07-30,18949,5130687
nation,England,E92000001,2021-07-29,23974,5111738
nation,England,E92000001,2021-07-28,26000,5087764
nation,England,E92000001,2021-07-27,25231,5061764
nation,England,E92000001,2021-07-26,25755,5036533
nation,England,E92000001,2021-07-25,19153,5010778
nation,England,E92000001,2021-07-24,19760,4991625
nation,England,E92000001,2021-07-23,23903,4971865
nation,England,E92000001,2021-07-22,27021,4947962
nation,England,E92000001,2021-07-21,30931,4920941
nation,England,E92000001,2021-07-20,35060,4890010
nation,England,E92000001,2021-07-19,42343,4854950
nation,England,E92000001,2021-07-18,32422,4812607
nation,England,E92000001,2021-07-17,34571,4780185
nation,England,E92000001,2021-07-16,50048,4745614
nation,England,E92000001,2021-07-15,56268,4695566
nation,England,E92000001,2021-07-14,49206,4639298
nation,England,E92000001,2021-07-13,42279,4590092
nation,England,E92000001,2021-07-12,39588,4547813
nation,England,E92000001,2021-07-11,26899,4508225
nation,England,E92000001,2021-07-10,24886,4481326
nation,England,E92000001,2021-07-09,28431,4456440
nation,England,E92000001,2021-07-08,29249,4428009
nation,England,E92000001,2021-07-07,33489,4398760
nation,England,E92000001,2021-07-06,30932,4365271
nation,England,E92000001,2021-07-05,29488,4334339
nation,England,E92000001,2021-07-04,21307,4304851
nation,England,E92000001,2021-07-03,20175,4283544
nation,England,E92000001,2021-07-02,21710,4263369
nation,England,E92000001,2021-07-01,23600,4241659
nation,England,E92000001,2021-06-30,23395,4218059
nation,England,E92000001,2021-06-29,22672,4194664
nation,England,E92000001,2021-06-28,22864,4171992
nation,England,E92000001,2021-06-27,15040,4149128
nation,England,E92000001,2021-06-26,13170,4134088
nation,England,E92000001,2021-06-25,14506,4120918
nation,England,E92000001,2021-06-24,14705,4106412
nation,England,E92000001,2021-06-23,14394,4091707
nation,England,E92000001,2021-06-22,13209,4077313
nation,England,E92000001,2021-06-21,12398,4064104
nation,England,E92000001,2021-06-20,8007,4051706
nation,England,E92000001,2021-06-19,6938,4043699
nation,England,E92000001,2021-06-18,8509,4036761
nation,England,E92000001,2021-06-17,9196,4028252
nation,England,E92000001,2021-06-16,9155,4019056
nation,England,E92000001,2021-06-15,8857,4009901
nation,England,E92000001,2021-06-14,8685,4001044
nation,England,E92000001,2021-06-13,5907,3992359
nation,England,E92000001,2021-06-12,5253,3986452
nation,England,E92000001,2021-06-11,6337,3981199
nation,England,E92000001,2021-06-10,6533,3974862
nation,England,E92000001,2021-06-09,6705,3968329
nation,England,E92000001,2021-06-08,6428,3961624
nation,England,E92000001,2021-06-07,6594,3955196
nation,England,E92000001,2021-06-06,4611,3948602
nation,England,E92000001,2021-06-05,3859,3943991
nation,England,E92000001,2021-06-04,4738,3940132
nation,England,E92000001,2021-06-03,4973,3935394
nation,England,E92000001,2021-06-02,4921,3930421
nation,England,E92000001,2021-06-01,4333,3925500
nation,England,E92000001,2021-05-31,3061,3921167
nation,England,E92000001,2021-05-30,2535,3918106
nation,England,E92000001,2021-05-29,2394,3915571
nation,England,E92000001,2021-05-28,2827,3913177
nation,England,E92000001,2021-05-27,2960,3910350
nation,England,E92000001,2021-05-26,3068,3907390
nation,England,E92000001,2021-05-25,2688,3904322
nation,England,E92000001,2021-05-24,2616,3901634
nation,England,E92000001,2021-05-23,1840,3899018
nation,England,E92000001,2021-05-22,1533,3897178
nation,England,E92000001,2021-05-21,1799,3895645
nation,England,E92000001,2021-05-20,1913,3893846
nation,England,E92000001,2021-05-19,2172,3891933
nation,England,E92000001,2021-05-18,2142,3889761
nation,England,E92000001,2021-05-17,2242,3887619
nation,England,E92000001,2021-05-16,1521,3885377
nation,England,E92000001,2021-05-15,1260,3883856
nation,England,E92000001,2021-05-14,1457,3882596
nation,England,E92000001,2021-05-13,1653,3881139
nation,England,E92000001,2021-05-12,1767,3879486
nation,England,E92000001,2021-05-11,1744,3877719
nation,England,E92000001,2021-05-10,2168,3875975
nation,England,E92000001,2021-05-09,1846,3873807
