"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.9647786316605,58.2245335502804,63.8980336679226,67.3654398572274,
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.5649656164502,64.9755888303254,68.7415356847576,72.614776748695,
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.878,46.961,60.299,64.166,
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.864,43.858,42.797,42.783,
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.0902992641633,69.9233182409369,72.9421664058408,77.461870037383,
Eritrea,ERI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,9.799,14.39,26.587,,
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.567,72.789,76.262,80.81,
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.533,69.711,69.368,69.229,
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,6.433,10.41,14.74,21.695,
European Union,EUU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.6776410523112,67.5903725952431,70.825711562657,74.9565011459504,
Fragile and conflict affected situations,FCS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.1786815583315,27.696804674767,37.0518102295048,45.4140214272946,
Finland,FIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.29,71.727,82.183,85.517,
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.681,37.769,47.908,57.247,
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.88,73.282,75.871,80.975,
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.383,31.186,36.337,42.398,
"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.312,26.445,22.33,22.933,
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.398,54.682,78.879,90.092,
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.444,78.481,78.651,83.903,
Georgia,GEO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.069,52.497,52.638,59.453,
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.252,31.163,43.929,57.349,
Gibraltar,GIB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.472,23.617,30.869,36.875,
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.129,28.414,47.868,62.582,
Guinea-Bissau,GNB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.6,17.804,36.243,44.196,
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.537,27.872,49.092,73.1,
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.936,69.343,72.716,79.715,
Grenada,GRD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.332,32.912,35.698,36.537,
Greenland,GRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.534,76.121,81.6,87.282,
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.121,38.724,45.332,51.836,
Guam,GUM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.147,93.753,93.129,94.938,
Guyana,GUY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.009,30.488,28.694,26.786,
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.5398422315667,71.7249157993644,76.7139994006712,81.7553882986929,
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.2,91.478,100.0,100.0,
Honduras,HND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.747,34.87,45.458,58.359,
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.3630136539704,20.827431589789,28.7255224315372,36.9630236104351,
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.154,47.285,53.428,57.553,
Haiti,HTI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,15.593,20.541,35.6,57.088,
Hungary,HUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.911,64.191,64.575,71.942,
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.0037234026153,33.122171454508,43.5558632822341,56.2077003465471,
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.9670493371688,31.0055628348241,40.4515828011891,51.4677108538872,
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.6418535230296,21.3171458201677,28.9534601997815,37.988877493181,
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.5121302931561,25.7605822215209,33.864374828424,43.194213462972,
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.586,22.104,42.002,56.641,
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,11.3715334680617,19.1544319116823,26.4841154494615,35.3502506753276,
Isle of Man,IMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.123,51.784,51.823,52.898,
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.924,23.098,27.667,34.926,
Not classified,INX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,,,,
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.184,55.333,59.155,63.653,
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.735,49.693,64.042,75.874,
Iraq,IRQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.899,65.521,68.496,70.893,
Iceland,ISL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.3,88.26,92.401,93.898,
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.848,88.583,91.203,92.587,
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.361,66.64,67.222,71.039,
Jamaica,JAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.769,46.739,51.814,56.311,
Jordan,JOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.879,60.029,78.27,91.418,
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.272,76.175,78.649,91.782,
Kazakhstan,KAZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.198,54.142,56.098,57.671,
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,7.362,15.583,19.892,27.995,
Kyrgyz Republic,KGZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.181,38.627,35.298,36.856,
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.285,9.898,18.586,24.232,
Kiribati,KIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.29,32.284,42.958,55.594,
St. Kitts and Nevis,KNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.644,35.882,32.778,30.843,
"Korea, Rep.",KOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.71,56.72,79.621,81.414,
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.893,94.781,99.0,100.0,
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.4763146569169,63.8126500134884,74.9685959514778,80.8684619446655,
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,7.946,12.377,21.977,36.29,
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.343,73.672,86.0,88.925,
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.632,35.167,44.331,52.089,
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.323,70.094,76.387,80.691,
St. Lucia,LCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.46,26.54,27.774,18.841,
