"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.0475035235919,58.0821753176025,63.5969222384994,66.6757012530986,
Togo,TGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.098,24.663,32.907,42.8,
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.672,26.791,31.386,51.43,
Tajikistan,TJK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.168,34.289,26.501,27.506,
Turkmenistan,TKM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.412,47.078,45.913,52.516,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.2082786408783,64.4021367480587,75.3523871272298,81.1461034090423,
Timor-Leste,TLS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.091,16.483,24.263,31.32,
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.8339407788387,47.0014868248253,55.2721265048531,62.0317464319283,
Tonga,TON,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.552,21.154,23.012,23.099,
South Asia (IDA & IBRD),TSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.7436063685252,22.3294143727937,27.3813026943349,34.8822931298263,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.690112218711,22.3394236827899,31.353649029344,41.2521423477946,
Trinidad and Tobago,TTO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.155,52.284,55.905,53.214,
Tunisia,TUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.511,50.569,63.432,69.568,
Turkey,TUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.515,43.78,64.741,76.105,
Tuvalu,TUV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,15.895,29.822,46.018,64.014,
Tanzania,TZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,5.246,14.555,22.309,35.227,
Uganda,UGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,4.417,7.534,14.786,24.954,
Ukraine,UKR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.792,61.693,67.145,69.608,
Upper middle income,UMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.2516678192205,36.0738087458789,49.8565117183047,67.8203029784189,
Uruguay,URY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.241,85.394,92.028,95.515,
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.996,73.738,79.057,82.664,
Uzbekistan,UZB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.978,40.782,46.126,50.416,
St. Vincent and the Grenadines,VCT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.943,35.87,45.186,53.032,
"Venezuela, RB",VEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.613,79.185,87.559,88.279,
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.228,22.741,41.774,48.515,
Virgin Islands (U.S.),VIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.477,80.147,92.586,95.939,
Vietnam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.7,19.247,24.374,37.34,
Vanuatu,VUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.404,14.74,21.673,25.525,
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.6179723726412,39.3496629702896,46.6893224847176,56.15040059313,
Samoa,WSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.926,21.173,21.977,17.889,
Kosovo,XKX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,,,,
"Yemen, Rep.",YEM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,9.1,16.534,26.267,37.908,
South Africa,ZAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.619,48.425,56.891,67.354,
Zambia,ZMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.145,39.815,34.802,44.629,
Zimbabwe,ZWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.608,22.371,33.758,32.242,
