Entity,Code,Day,people_fully_vaccinated_per_hundred
Alabama,,2021-01-12,0.15
Alabama,,2021-01-13,0.19
Alabama,,2021-01-15,0.28
Alabama,,2021-01-19,0.33
Alabama,,2021-01-20,0.37
Alabama,,2021-01-21,0.44
Alabama,,2021-01-22,0.51
Alabama,,2021-01-23,0.56
Alabama,,2021-01-24,0.61
Alabama,,2021-01-25,0.61
Alabama,,2021-01-26,0.63
Alabama,,2021-01-27,0.69
Alabama,,2021-01-28,0.76
Alabama,,2021-01-29,0.9
Alabama,,2021-01-30,1.1
Alabama,,2021-01-31,1.13
Alabama,,2021-02-01,1.15
Alabama,,2021-02-02,1.2
Alabama,,2021-02-03,1.28
Alabama,,2021-02-04,1.41
Alabama,,2021-02-05,1.56
Alabama,,2021-02-06,1.72
Alabama,,2021-02-07,1.76
Alabama,,2021-02-08,1.8
Alabama,,2021-02-09,1.94
Alabama,,2021-02-10,2.09
Alabama,,2021-02-11,2.26
Alabama,,2021-02-12,2.49
Alabama,,2021-02-13,2.71
Alabama,,2021-02-14,2.79
Alabama,,2021-02-16,3.04
Alabama,,2021-02-17,3.15
Alabama,,2021-02-18,3.37
Alabama,,2021-02-19,3.92
Alabama,,2021-02-20,4.37
Alabama,,2021-02-21,4.48
Alabama,,2021-02-22,4.65
Alabama,,2021-02-23,4.88
Alabama,,2021-02-24,5.17
Alabama,,2021-02-25,5.48
Alabama,,2021-02-26,5.83
Alabama,,2021-02-27,6.28
Alabama,,2021-02-28,6.39
Alabama,,2021-03-01,6.45
Alabama,,2021-03-02,6.73
Alabama,,2021-03-03,7.07
Alabama,,2021-03-04,7.45
Alabama,,2021-03-05,7.81
Alabama,,2021-03-06,8.2
Alabama,,2021-03-07,8.3
Alabama,,2021-03-08,8.36
Alabama,,2021-03-09,8.57
Alabama,,2021-03-10,8.87
Alabama,,2021-03-11,9.23
Alabama,,2021-03-12,9.63
Alabama,,2021-03-13,10.05
Alabama,,2021-03-14,10.15
Alabama,,2021-03-15,10.22
Alabama,,2021-03-16,10.44
Alabama,,2021-03-17,10.68
Alabama,,2021-03-18,10.88
Alabama,,2021-03-19,11.16
Alabama,,2021-03-20,11.45
Alabama,,2021-03-21,11.56
Alabama,,2021-03-22,11.61
Alabama,,2021-03-23,11.82
Alabama,,2021-03-24,12.03
Alabama,,2021-03-25,12.25
Alabama,,2021-03-26,12.48
Alabama,,2021-03-27,12.71
Alabama,,2021-03-28,12.82
Alabama,,2021-03-29,12.88
Alabama,,2021-03-30,13.12
Alabama,,2021-03-31,13.4
Alabama,,2021-04-01,13.74
Alabama,,2021-04-02,14.09
Alabama,,2021-04-03,14.38
Alabama,,2021-04-04,14.48
Alabama,,2021-04-05,14.51
Alabama,,2021-04-06,14.79
Alabama,,2021-04-07,15.19
Alabama,,2021-04-08,15.59
Alabama,,2021-04-09,16.08
Alabama,,2021-04-10,16.55
Alabama,,2021-04-11,16.71
Alabama,,2021-04-12,16.81
Alabama,,2021-04-13,17.22
Alabama,,2021-04-14,17.71
Alabama,,2021-04-15,18.21
Alabama,,2021-04-16,18.67
Alabama,,2021-04-17,19.08
Alabama,,2021-04-18,19.24
Alabama,,2021-04-19,19.3
Alabama,,2021-04-20,19.71
Alabama,,2021-04-21,20.14
Alabama,,2021-04-22,20.61
Alabama,,2021-04-23,21.09
Alabama,,2021-04-24,21.51
Alabama,,2021-04-25,21.67
Alabama,,2021-04-26,21.75
Alabama,,2021-04-27,22.02
Alabama,,2021-04-28,22.41
Alabama,,2021-04-29,22.87
Alabama,,2021-04-30,23.32
Alabama,,2021-05-01,23.69
Alabama,,2021-05-02,23.77
Alabama,,2021-05-03,23.83
Alabama,,2021-05-04,24.06
Alabama,,2021-05-05,24.45
Alabama,,2021-05-06,24.5
Alabama,,2021-05-07,25.3
Alabama,,2021-05-08,25.78
Alabama,,2021-05-09,25.92
Alabama,,2021-05-10,25.98
Alabama,,2021-05-11,25.98
Alabama,,2021-05-12,26.24
Alabama,,2021-05-13,26.81
Alabama,,2021-05-14,27.21
Alabama,,2021-05-15,27.49
Alabama,,2021-05-16,27.55
Alabama,,2021-05-17,27.55
Alabama,,2021-05-18,27.79
Alabama,,2021-05-19,27.79
Alabama,,2021-05-20,28.19
Alabama,,2021-05-21,28.29
Alabama,,2021-05-22,28.49
Alabama,,2021-05-23,28.71
Alabama,,2021-05-24,28.71
Alabama,,2021-05-25,28.87
Alabama,,2021-05-26,28.95
Alabama,,2021-05-27,29.03
Alabama,,2021-05-28,29.15
Alabama,,2021-05-29,29.2
Alabama,,2021-05-30,29.21
Alabama,,2021-06-01,29.23
Alabama,,2021-06-02,29.27
Alabama,,2021-06-03,29.28
Alabama,,2021-06-04,29.37
Alabama,,2021-06-05,29.37
Alabama,,2021-06-06,29.41
Alabama,,2021-06-07,29.43
Alabama,,2021-06-08,29.43
Alabama,,2021-06-09,29.48
Alabama,,2021-06-10,29.78
Alabama,,2021-06-11,29.96
Alabama,,2021-06-12,30.29
Alabama,,2021-06-13,30.41
Alabama,,2021-06-14,30.59
Alabama,,2021-06-15,30.62
Alabama,,2021-06-16,30.77
Alabama,,2021-06-17,31.53
Alabama,,2021-06-18,31.55
Alabama,,2021-06-19,31.79
Alabama,,2021-06-20,31.86
Alabama,,2021-06-21,31.89
Alabama,,2021-06-22,31.96
Alabama,,2021-06-23,32.03
Alabama,,2021-06-24,32.12
Alabama,,2021-06-25,32.12
Alabama,,2021-06-26,32.2
Alabama,,2021-06-27,32.31
Alabama,,2021-06-28,32.43
Alabama,,2021-06-29,32.51
Alabama,,2021-06-30,32.52
Alabama,,2021-07-01,32.67
Alabama,,2021-07-02,32.67
Alabama,,2021-07-03,32.89
Alabama,,2021-07-04,32.9
Alabama,,2021-07-06,32.99
Alabama,,2021-07-07,33.03
Alabama,,2021-07-08,33.1
Alabama,,2021-07-09,33.17
Alabama,,2021-07-10,33.24
Alabama,,2021-07-11,33.31
Alabama,,2021-07-12,33.32
Alabama,,2021-07-13,33.42
Alabama,,2021-07-14,33.43
Alabama,,2021-07-15,33.55
Alabama,,2021-07-16,33.61
Alabama,,2021-07-17,33.61
Alabama,,2021-07-18,33.68
Alabama,,2021-07-19,33.73
Alabama,,2021-07-20,33.75
Alabama,,2021-07-21,33.85
Alabama,,2021-07-22,33.91
Alabama,,2021-07-23,33.92
Alabama,,2021-07-24,33.97
Alabama,,2021-07-25,34.04
Alabama,,2021-07-26,34.08
Alabama,,2021-07-27,34.11
Alabama,,2021-07-28,34.2
Alaska,,2021-01-12,0.74
Alaska,,2021-01-13,0.84
Alaska,,2021-01-15,1.29
Alaska,,2021-01-19,1.48
Alaska,,2021-01-20,1.54
Alaska,,2021-01-21,1.69
Alaska,,2021-01-22,1.88
Alaska,,2021-01-23,2.08
Alaska,,2021-01-24,2.21
Alaska,,2021-01-25,2.28
Alaska,,2021-01-26,2.3
Alaska,,2021-01-27,2.47
Alaska,,2021-01-28,2.74
Alaska,,2021-01-29,2.95
Alaska,,2021-01-30,3.19
Alaska,,2021-01-31,3.36
Alaska,,2021-02-01,3.48
Alaska,,2021-02-02,3.58
Alaska,,2021-02-03,3.76
Alaska,,2021-02-04,4.12
Alaska,,2021-02-05,4.46
Alaska,,2021-02-06,4.89
Alaska,,2021-02-07,5.41
Alaska,,2021-02-08,5.58
Alaska,,2021-02-09,5.7
Alaska,,2021-02-10,5.95
Alaska,,2021-02-11,6.29
Alaska,,2021-02-12,6.69
Alaska,,2021-02-13,7.16
Alaska,,2021-02-14,7.81
Alaska,,2021-02-16,8.33
Alaska,,2021-02-17,8.54
Alaska,,2021-02-18,8.92
Alaska,,2021-02-19,9.83
Alaska,,2021-02-20,10.75
Alaska,,2021-02-21,11.25
Alaska,,2021-02-22,11.5
Alaska,,2021-02-23,11.58
Alaska,,2021-02-24,11.87
Alaska,,2021-02-25,12.33
Alaska,,2021-02-26,12.61
Alaska,,2021-02-27,13.03
Alaska,,2021-02-28,13.34
Alaska,,2021-03-01,13.66
Alaska,,2021-03-02,13.79
Alaska,,2021-03-03,14
Alaska,,2021-03-04,14.23
Alaska,,2021-03-05,14.57
Alaska,,2021-03-06,15.04
Alaska,,2021-03-07,15.55
Alaska,,2021-03-08,15.81
Alaska,,2021-03-09,16.04
Alaska,,2021-03-10,16.28
Alaska,,2021-03-11,16.7
Alaska,,2021-03-12,16.97
Alaska,,2021-03-13,17.31
Alaska,,2021-03-14,17.89
Alaska,,2021-03-15,18.12
Alaska,,2021-03-16,18.3
Alaska,,2021-03-17,18.56
Alaska,,2021-03-18,18.93
Alaska,,2021-03-19,19.16
Alaska,,2021-03-20,19.6
Alaska,,2021-03-21,19.95
Alaska,,2021-03-22,20.08
Alaska,,2021-03-23,20.12
Alaska,,2021-03-24,20.33
Alaska,,2021-03-25,20.64
Alaska,,2021-03-26,21.01
Alaska,,2021-03-27,21.42
Alaska,,2021-03-28,21.9
Alaska,,2021-03-29,22
Alaska,,2021-03-30,22.08
Alaska,,2021-03-31,22.3
Alaska,,2021-04-01,22.6
Alaska,,2021-04-02,22.91
Alaska,,2021-04-03,23.34
Alaska,,2021-04-04,24.17
Alaska,,2021-04-05,24.45
Alaska,,2021-04-06,24.52
Alaska,,2021-04-07,24.87
Alaska,,2021-04-08,25.51
Alaska,,2021-04-09,25.97
Alaska,,2021-04-10,26.63
Alaska,,2021-04-11,27.17
Alaska,,2021-04-12,27.58
Alaska,,2021-04-13,30.4
Alaska,,2021-04-14,30.77
Alaska,,2021-04-15,30.79
Alaska,,2021-04-16,31.21
Alaska,,2021-04-17,31.63
Alaska,,2021-04-18,32.06
Alaska,,2021-04-19,32.21
Alaska,,2021-04-20,32.36
Alaska,,2021-04-21,32.78
Alaska,,2021-04-22,33.15
Alaska,,2021-04-23,33.45
Alaska,,2021-04-24,33.74
Alaska,,2021-04-25,33.96
Alaska,,2021-04-26,34.04
Alaska,,2021-04-27,34.11
Alaska,,2021-04-28,34.27
Alaska,,2021-04-29,34.86
Alaska,,2021-04-30,35.07
Alaska,,2021-05-01,35.84
Alaska,,2021-05-02,36
Alaska,,2021-05-03,36.03
Alaska,,2021-05-04,36.05
Alaska,,2021-05-05,36.17
Alaska,,2021-05-06,36.34
Alaska,,2021-05-07,36.49
Alaska,,2021-05-08,36.68
Alaska,,2021-05-09,36.69
Alaska,,2021-05-10,37.03
Alaska,,2021-05-11,37.11
Alaska,,2021-05-12,37.22
Alaska,,2021-05-13,37.36
Alaska,,2021-05-14,37.5
Alaska,,2021-05-15,37.68
Alaska,,2021-05-16,37.85
Alaska,,2021-05-17,37.88
Alaska,,2021-05-18,37.93
Alaska,,2021-05-19,38.04
Alaska,,2021-05-20,38.2
Alaska,,2021-05-21,38.34
Alaska,,2021-05-22,38.5
Alaska,,2021-05-23,38.65
Alaska,,2021-05-24,38.69
Alaska,,2021-05-25,38.73
Alaska,,2021-05-26,38.81
Alaska,,2021-05-27,38.92
Alaska,,2021-05-28,39.06
Alaska,,2021-05-29,39.2
Alaska,,2021-05-30,39.3
Alaska,,2021-06-01,39.37
Alaska,,2021-06-02,39.39
Alaska,,2021-06-03,39.53
Alaska,,2021-06-04,39.66
Alaska,,2021-06-05,39.82
Alaska,,2021-06-06,40.05
Alaska,,2021-06-07,40.2
Alaska,,2021-06-08,40.23
Alaska,,2021-06-09,40.25
Alaska,,2021-06-10,40.49
Alaska,,2021-06-11,40.63
Alaska,,2021-06-12,40.81
Alaska,,2021-06-13,40.93
Alaska,,2021-06-14,41.07
Alaska,,2021-06-15,41.15
Alaska,,2021-06-16,41.28
Alaska,,2021-06-17,41.39
Alaska,,2021-06-18,41.51
Alaska,,2021-06-19,41.63
Alaska,,2021-06-20,41.72
Alaska,,2021-06-21,41.82
Alaska,,2021-06-22,41.84
Alaska,,2021-06-23,41.89
Alaska,,2021-06-24,42
Alaska,,2021-06-25,42.09
Alaska,,2021-06-26,42.4
Alaska,,2021-06-27,42.56
Alaska,,2021-06-28,42.69
Alaska,,2021-06-29,42.77
Alaska,,2021-06-30,42.88
Alaska,,2021-07-01,42.99
Alaska,,2021-07-02,43.52
Alaska,,2021-07-03,43.62
Alaska,,2021-07-04,43.81
Alaska,,2021-07-06,44.15
Alaska,,2021-07-07,44.16
Alaska,,2021-07-08,44.25
Alaska,,2021-07-09,44.34
Alaska,,2021-07-10,44.44
Alaska,,2021-07-11,44.52
Alaska,,2021-07-12,44.56
Alaska,,2021-07-13,44.58
Alaska,,2021-07-14,44.66
Alaska,,2021-07-15,44.74
Alaska,,2021-07-16,44.83
Alaska,,2021-07-17,44.89
Alaska,,2021-07-18,45.02
Alaska,,2021-07-19,45.04
Alaska,,2021-07-20,45
Alaska,,2021-07-21,45.05
Alaska,,2021-07-22,45.11
Alaska,,2021-07-23,45.17
Alaska,,2021-07-24,45.23
Alaska,,2021-07-25,45.24
Alaska,,2021-07-26,45.31
Alaska,,2021-07-27,45.32
Alaska,,2021-07-28,45.36
American Samoa,ASM,2021-01-12,0.47
American Samoa,ASM,2021-01-13,0.65
American Samoa,ASM,2021-01-15,1.33
American Samoa,ASM,2021-01-19,1.38
American Samoa,ASM,2021-01-20,1.5
American Samoa,ASM,2021-01-21,1.67
American Samoa,ASM,2021-01-22,1.69
American Samoa,ASM,2021-01-23,1.7
American Samoa,ASM,2021-01-24,1.7
American Samoa,ASM,2021-01-25,1.7
American Samoa,ASM,2021-01-26,1.7
American Samoa,ASM,2021-01-27,1.71
American Samoa,ASM,2021-01-28,1.71
American Samoa,ASM,2021-01-29,1.79
American Samoa,ASM,2021-01-30,1.79
American Samoa,ASM,2021-01-31,1.79
American Samoa,ASM,2021-02-01,1.88
American Samoa,ASM,2021-02-02,1.88
American Samoa,ASM,2021-02-03,2.34
American Samoa,ASM,2021-02-04,2.68
American Samoa,ASM,2021-02-05,4.04
American Samoa,ASM,2021-02-06,4.45
American Samoa,ASM,2021-02-07,4.45
American Samoa,ASM,2021-02-08,4.45
American Samoa,ASM,2021-02-09,5.18
American Samoa,ASM,2021-02-10,6.27
American Samoa,ASM,2021-02-11,6.62
American Samoa,ASM,2021-02-12,8.92
American Samoa,ASM,2021-02-13,9.53
American Samoa,ASM,2021-02-14,9.53
American Samoa,ASM,2021-02-16,10.52
American Samoa,ASM,2021-02-17,10.75
American Samoa,ASM,2021-02-18,10.75
American Samoa,ASM,2021-02-19,10.75
American Samoa,ASM,2021-02-20,12.38
American Samoa,ASM,2021-02-21,14.03
American Samoa,ASM,2021-02-22,14.11
American Samoa,ASM,2021-02-23,14.11
American Samoa,ASM,2021-02-24,14.4
American Samoa,ASM,2021-02-25,14.4
American Samoa,ASM,2021-02-26,14.51
American Samoa,ASM,2021-02-27,14.51
American Samoa,ASM,2021-02-28,14.51
American Samoa,ASM,2021-03-01,14.51
American Samoa,ASM,2021-03-02,14.62
American Samoa,ASM,2021-03-03,14.62
American Samoa,ASM,2021-03-04,14.82
American Samoa,ASM,2021-03-05,14.82
American Samoa,ASM,2021-03-06,14.82
American Samoa,ASM,2021-03-07,14.82
American Samoa,ASM,2021-03-08,14.82
American Samoa,ASM,2021-03-09,14.82
American Samoa,ASM,2021-03-10,15.63
American Samoa,ASM,2021-03-11,15.63
American Samoa,ASM,2021-03-12,15.63
American Samoa,ASM,2021-03-13,15.65
American Samoa,ASM,2021-03-14,15.65
American Samoa,ASM,2021-03-15,16.2
American Samoa,ASM,2021-03-16,16.2
American Samoa,ASM,2021-03-17,16.21
American Samoa,ASM,2021-03-18,16.21
American Samoa,ASM,2021-03-19,16.21
American Samoa,ASM,2021-03-20,16.21
American Samoa,ASM,2021-03-21,16.21
American Samoa,ASM,2021-03-22,18.31
American Samoa,ASM,2021-03-23,18.39
American Samoa,ASM,2021-03-24,18.95
American Samoa,ASM,2021-03-25,18.97
American Samoa,ASM,2021-03-26,19.83
American Samoa,ASM,2021-03-27,19.84
American Samoa,ASM,2021-03-28,19.84
American Samoa,ASM,2021-03-29,19.84
American Samoa,ASM,2021-03-30,20.58
American Samoa,ASM,2021-03-31,24.07
American Samoa,ASM,2021-04-01,24.07
American Samoa,ASM,2021-04-02,24.7
American Samoa,ASM,2021-04-03,24.7
American Samoa,ASM,2021-04-04,24.7
American Samoa,ASM,2021-04-05,24.7
American Samoa,ASM,2021-04-06,24.7
American Samoa,ASM,2021-04-07,25.74
American Samoa,ASM,2021-04-08,25.75
American Samoa,ASM,2021-04-09,26.46
American Samoa,ASM,2021-04-10,26.46
American Samoa,ASM,2021-04-11,26.66
American Samoa,ASM,2021-04-12,26.66
American Samoa,ASM,2021-04-13,26.66
American Samoa,ASM,2021-04-14,27.36
