,Unnamed: 0,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
3740,3740,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,849624,2323282,20210113,,DEMOCRAT
3741,3741,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1441170,2323282,20210113,,REPUBLICAN
3742,3742,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,25176,2323282,20210113,,LIBERTARIAN
3743,3743,2020,ALABAMA,AL,1,63,41,US PRESIDENT,,,True,7312,2323282,20210113,,OTHER
3744,3744,2020,ALASKA,AK,2,94,81,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,153778,359530,20210113,,DEMOCRAT
3745,3745,2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,189951,359530,20210113,,REPUBLICAN
3746,3746,2020,ALASKA,AK,2,94,81,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,8897,359530,20210113,,LIBERTARIAN
3747,3747,2020,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,318,359530,20210113,,OTHER
3748,3748,2020,ALASKA,AK,2,94,81,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,825,359530,20210113,,OTHER
3749,3749,2020,ALASKA,AK,2,94,81,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,False,2673,359530,20210113,,OTHER
3750,3750,2020,ALASKA,AK,2,94,81,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1127,359530,20210113,,OTHER
3751,3751,2020,ALASKA,AK,2,94,81,US PRESIDENT,,,True,1961,359530,20210113,,OTHER
3752,3752,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1672143,3387326,20210113,,DEMOCRAT
3753,3753,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1661686,3387326,20210113,,REPUBLICAN
3754,3754,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,51465,3387326,20210113,,LIBERTARIAN
3755,3755,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,190,3387326,20210113,,OTHER
3756,3756,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,True,36,3387326,20210113,,OTHER
3757,3757,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,236,3387326,20210113,,OTHER
3758,3758,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,13,3387326,20210113,,OTHER
3759,3759,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1557,3387326,20210113,,OTHER
3760,3760,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,1713,1219069,20210113,,OTHER
3761,3761,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,2108,1219069,20210113,,OTHER
3762,3762,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,423932,1219069,20210113,,DEMOCRAT
3763,3763,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,2980,1219069,20210113,,OTHER
