"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bulgaria","BGR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","37.1","38.782","40.494","42.23","43.987","45.755","47.233","48.499","49.768","51.034","52.3","53.36","54.419","55.471","56.519","57.562","58.526","59.428","60.326","61.216","62.1","62.603","63.104","63.603","64.099","64.59","64.999","65.346","65.692","66.035","66.377","66.717","67.056","67.33","67.557","67.782","68.007","68.231","68.454","68.677","68.899","69.166","69.524","69.879","70.233","70.584","70.932","71.278","71.622","71.963","72.302","72.638","72.975","73.313","73.651","73.99","74.329","74.669","75.008","75.347","75.686",
"Bahrain","BHR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","82.32","82.337","82.355","82.372","82.389","82.5","82.761","83.019","83.275","83.526","83.775","84.021","84.265","84.504","84.741","84.975","85.206","85.434","85.659","85.882","86.101","86.317","86.531","86.742","86.95","87.155","87.357","87.557","87.754","87.949","88.14","88.329","88.398","88.395","88.392","88.388","88.385","88.382","88.379","88.376","88.372","88.369","88.373","88.383","88.399","88.422","88.452","88.488","88.53","88.579","88.634","88.695","88.762","88.835","88.915","88.999","89.09","89.186","89.287","89.394","89.506",
"Bahamas, The","BHS","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","59.712","60.454","61.193","61.926","62.642","63.343","64.04","64.73","65.416","66.093","66.764","67.429","68.088","68.738","69.381","70.017","70.647","71.266","71.879","72.484","73.102","73.843","74.571","75.285","75.987","76.674","77.347","78.007","78.654","79.284","79.838","80.067","80.293","80.518","80.74","80.961","81.18","81.396","81.611","81.824","82.007","82.049","82.092","82.134","82.176","82.218","82.26","82.302","82.343","82.385","82.427","82.476","82.532","82.596","82.668","82.746","82.832","82.925","83.025","83.132","83.245",
"Bosnia and Herzegovina","BIH","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","19.04","19.686","20.437","21.209","22.004","22.817","23.652","24.509","25.387","26.283","27.201","28.094","28.875","29.666","30.471","31.288","32.118","32.957","33.808","34.67","35.543","36.282","36.607","36.933","37.261","37.589","37.919","38.25","38.583","38.915","39.249","39.578","39.887","40.196","40.506","40.817","41.13","41.442","41.755","42.069","42.384","42.698","43.014","43.33","43.648","43.965","44.282","44.601","44.92","45.239","45.558","45.878","46.199","46.519","46.84","47.173","47.518","47.876","48.245","48.626","49.02",
"Belarus","BLR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","32.401","33.522","34.663","35.822","37","38.127","39.269","40.422","41.588","42.76","44.01","45.349","46.697","48.046","49.4","50.614","51.829","53.039","54.247","55.402","56.498","57.584","58.664","59.736","60.8","61.833","62.857","63.87","64.872","65.585","65.981","66.374","66.766","67.155","67.541","67.926","68.308","68.687","69.064","69.482","69.973","70.458","70.939","71.415","71.887","72.354","72.816","73.273","73.726","74.172","74.672","75.188","75.697","76.199","76.693","77.181","77.661","78.134","78.595","79.044","79.483",
"Belize","BLZ","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","54.028","53.72","53.41","53.101","52.79","52.481","52.17","51.86","51.549","51.238","50.963","50.805","50.646","50.488","50.329","50.171","50.012","49.854","49.695","49.537","49.374","49.183","48.992","48.801","48.61","48.419","48.228","48.037","47.846","47.655","47.465","47.271","47.059","46.848","46.637","46.425","46.214","46.003","45.793","45.582","45.398","45.381","45.364","45.347","45.33","45.313","45.296","45.279","45.262","45.245","45.228","45.228","45.246","45.282","45.335","45.406","45.495","45.601","45.724","45.866","46.025",
"Bermuda","BMU","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Bolivia","BOL","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","36.762","37.059","37.357","37.656","37.957","38.257","38.559","38.862","39.166","39.47","39.776","40.082","40.389","40.696","41.004","41.314","41.624","42.446","43.442","44.443","45.451","46.459","47.472","48.486","49.504","50.519","51.535","52.549","53.563","54.571","55.577","56.579","57.541","58.079","58.615","59.15","59.682","60.212","60.739","61.264","61.787","62.306","62.783","63.248","63.711","64.17","64.628","65.082","65.535","65.984","66.43","66.874","67.315","67.699","68.047","68.393","68.738","69.08","69.425","69.773","70.123",
"Brazil","BRA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","46.139","47.122","48.099","49.078","50.059","51.037","52.016","52.993","53.97","54.94","55.909","56.894","57.879","58.855","59.826","60.789","61.745","62.689","63.625","64.551","65.468","66.37","67.262","68.142","69.01","69.862","70.703","71.529","72.342","73.139","73.922","74.69","75.444","76.181","76.903","77.61","78.302","79.048","79.781","80.496","81.192","81.553","81.88","82.203","82.521","82.834","83.143","83.448","83.749","84.044","84.335","84.631","84.923","85.209","85.492","85.77","86.042","86.309","86.569","86.824","87.073",
"Barbados","BRB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","36.777","36.849","36.922","36.995","37.068","37.141","37.214","37.287","37.36","37.433","37.55","37.809","38.07","38.331","38.592","38.855","39.118","39.381","39.646","39.91","40.102","39.828","39.554","39.28","39.007","38.736","38.464","38.194","37.923","37.654","37.37","37.006","36.643","36.283","35.924","35.566","35.21","34.856","34.503","34.152","33.827","33.629","33.431","33.234","33.037","32.841","32.646","32.451","32.256","32.063","31.87","31.7","31.553","31.429","31.328","31.249","31.193","31.159","31.147","31.158","31.191",
"Brunei Darussalam","BRN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","43.401","45.228","47.07","48.92","50.776","52.625","54.469","56.3","58.118","59.908","61.675","63.412","63.736","63.889","64.041","64.193","64.345","64.496","64.647","64.798","64.949","65.099","65.249","65.399","65.548","65.697","65.846","65.994","66.143","66.29","66.438","66.585","67.078","67.604","68.126","68.644","69.158","69.666","70.17","70.669","71.164","71.652","72.046","72.421","72.794","73.163","73.529","73.892","74.252","74.608","74.961","75.31","75.656","75.997","76.332","76.663","76.99","77.312","77.629","77.942","78.25",
"Bhutan","BTN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","3.596","3.792","3.999","4.217","4.446","4.687","4.94","5.207","5.487","5.781","6.089","6.413","6.754","7.11","7.484","7.876","8.288","8.717","9.168","9.639","10.132","10.646","11.184","11.745","12.332","12.941","13.577","14.24","14.929","15.645","16.388","17.161","17.962","18.791","19.649","20.537","21.456","22.401","23.377","24.383","25.418","26.48","27.57","28.688","29.835","30.965","31.712","32.469","33.236","34.01","34.793","35.585","36.371","37.149","37.918","38.678","39.428","40.167","40.895","41.612","42.316",
"Botswana","BWA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","3.06","3.097","3.134","3.171","3.318","3.839","4.437","5.124","5.912","6.81","7.834","8.998","9.695","10.381","11.11","11.884","12.705","13.572","14.489","15.457","16.479","17.552","19.489","21.723","24.139","26.724","29.483","32.401","35.467","38.648","41.933","45.292","46.443","47.286","48.133","48.981","49.83","50.677","51.525","52.372","53.219","54.062","54.57","55.029","55.488","55.944","56.4","57.928","59.444","60.937","62.412","63.865","64.768","65.572","66.368","67.155","67.933","68.7","69.446","70.172","70.877",
